District
Bakston
Banishora
Beli brezi
Benkovski
Borovo
Botunec
Boyana
Chelopechene
Darvenica
Dianabad
Dragalevci
Druzhba 1
Druzhba 2
Fakulteta
Filipovci
Geo Milev
Gorna Banya
Gorublyane
Goce Delchev
Hadzhi Dimitar
Hipodruma
Hladilnika
Hristo Botev
Iliyanci
Ivan Vazov
Izgrev
Iztok
Knyazhevo
Krasna polyana
Krasno selo
Kremikovci
Lagera
Levski
Lozenec
Lyulin 1
Lyulin 2
Lyulin 3
Lyulin 4
Lyulin 5
Lyulin 6
Lyulin 7
Lyulin 8
Lyulin 9
Lyulin 10
Malashevci
Malinova Dolina
Manastirski livadi
Mladost 1
Mladost 2
Mladost 3
Mladost 4
Moderno predgradie
Motopista
Musagenica
Nadezhda
Nadezhda 3
Nadezhda 6
Obelya
Obelya 2
Ovcha kupel
Ovcha kupel 2
Pavlovo
Poduyane
Poligona
Reduta
Republika
Seslavci
Simeonovo
Slatina
Stefan Karadzha
Strelbishte
Studentski grad
Suhata reka
Suhodol
Sveta Troica
Trebich
Vrazhdebna
Yavorov
Zaharna Fabrika
Zapaden park
Zona B-5
Zona B-18
Zona B-19
